"id","tipo_mantencion","fecha_ingreso","fecha_salida","fecha_programada","km_al_ingreso","descripcion_trabajo","estado","nro_factura","archivo_adjunto","costo_estimado","costo_mano_obra","costo_repuestos","costo_total_real","cuenta_presupuestaria_id","orden_compra_id","orden_trabajo_id","proveedor_id","vehiculo_id"
35,"Preventivo","2025-05-14","2025-05-15",NULL,334513,"SERVICIOS DE MANTENCION CONVERSIONES – LX-FG-16","Finalizado",NULL,NULL,0,973539,0,973539,2,37,NULL,2,2
36,"Preventivo","2025-06-24","2025-06-25",NULL,407951,"Convenio Mercedes Benz – HR.PG-25 (MP)","Finalizado",NULL,NULL,0,339780,0,339780,1,38,NULL,1,1
37,"Preventivo","2025-07-09","2025-07-10",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,NULL,0,677547,0,677547,NULL,39,NULL,1,2
38,"Preventivo","2025-07-28","2025-07-29",NULL,336979,"Compra de neumáticos – KX.SL-70","Finalizado",NULL,NULL,0,802106,0,802106,NULL,40,NULL,7,3
40,"Preventivo","2025-08-14","2025-08-15",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,NULL,0,375544,0,375544,NULL,42,NULL,1,2
41,"Preventivo","2025-09-25","2025-09-25",NULL,336979,"SERVICIOS DE MANTENCION CONVERSIONES – KX.SL-70","Finalizado",NULL,NULL,0,973539,0,973539,1,43,NULL,2,3
42,"Preventivo","2025-09-23","2025-09-24",NULL,336979,"Convenio Mantención Multimarcas – KX.SL-70","Finalizado",NULL,NULL,0,889562,0,889562,NULL,44,NULL,3,3
43,"Preventivo","2025-10-13","2025-10-14",NULL,407951,"Convenio Mercedes Benz – HR.PG-25 (MP)","Finalizado",NULL,NULL,0,1620939,0,1620939,1,45,NULL,1,1
44,"Preventivo","2025-10-10","2025-10-11",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,NULL,0,1081429,0,1081429,NULL,46,NULL,1,2
45,"Preventivo","2025-10-14","2025-10-15",NULL,327340,"Compra de neumáticos – HL.TS-76 y otros","Finalizado",NULL,NULL,0,3314155,0,3314155,NULL,47,NULL,8,4
47,"Preventivo","2025-12-18","2025-12-19",NULL,334513,"Convenio Mercedes Benz – LX-FG-16","Finalizado",NULL,NULL,0,1436303,0,1436303,NULL,49,NULL,1,2
48,"Preventivo","2025-12-18","2025-12-19",NULL,336979,"Convenio Mantención Multimarcas – KX.SL-70","Finalizado",NULL,NULL,0,546252,0,546252,NULL,50,NULL,3,3
49,"Correctivo","2025-01-16","2025-01-17",NULL,407951,"Cambio de tubo flexible de liquido refrigerante – HR.PG-25","Finalizado",NULL,NULL,0,186854,0,186854,2,2,NULL,1,1
50,"Correctivo","2025-01-23","2025-01-24",NULL,334513,"Cambio de Inyectores – LX-FG-16","Finalizado",NULL,NULL,0,3436544,0,3436544,2,3,NULL,1,2
51,"Correctivo","2025-01-27","2025-01-28",NULL,334513,"Cambio de discos de freno, pastillas, sensores – LX-FG-16","Finalizado",NULL,NULL,0,682636,0,682636,2,4,NULL,1,2
52,"Correctivo","2025-02-04","2025-02-05",NULL,336979,"Regeneración forzada, Scanner, pérdida de potencia – KX.SL-70","Finalizado",NULL,NULL,0,351348,0,351348,NULL,5,NULL,3,3
54,"Correctivo","2025-03-07","2025-03-08",NULL,407951,"Reparación cabina sanitaria – HR.PG-25","Finalizado",NULL,NULL,0,611541,0,611541,NULL,7,NULL,2,1
55,"Correctivo","2025-04-08","2025-04-09",NULL,334513,"Reparación sist. Calefacción – LX-FG-16","Finalizado",NULL,NULL,0,765170,0,765170,2,8,NULL,2,2
56,"Correctivo","2025-04-29","2025-04-30",NULL,336979,"Limpieza de inyectores DPF – KX.SL-70","Finalizado",NULL,NULL,0,348075,0,348075,NULL,9,NULL,3,3
57,"Correctivo","2025-05-02","2025-05-03",NULL,336979,"Cambio Pastillas de Freno – KX.SL-70","Finalizado",NULL,NULL,0,244902,0,244902,NULL,10,NULL,3,3
58,"Correctivo","2025-05-12","2025-05-13",NULL,407951,"Reparación cabina sanitaria – HR.PG-25","Finalizado",NULL,NULL,0,3615208,0,3615208,NULL,11,NULL,2,1
59,"Correctivo","2025-05-29","2025-05-30",NULL,334513,"Reparación sist. Calefacción – LX-FG-16","Finalizado",NULL,NULL,0,290586,0,290586,2,12,NULL,1,2
60,"Correctivo","2025-05-19","2025-05-20",NULL,334513,"Desinstalación/instalación asientos, molduras, argollas, óxido, calefacción, cinturones, fijación oxígeno, red oxígeno, focos, logos, pasamanos – LX-FG-16","Finalizado",NULL,NULL,0,2176748,0,2176748,2,13,NULL,2,2
61,"Correctivo","2025-06-24","2025-06-25",NULL,407951,"Revisión Sist. Eléctrico, cambio focos, revisión Cab. San por ruido de relé – HR.PG-25","Finalizado",NULL,NULL,0,77350,0,77350,NULL,14,NULL,2,1
62,"Correctivo","2025-07-07","2025-07-08",NULL,407951,"Cambio terminales de dirección, cambio Axiales, Alineación, cambio tapa refrigerante – HR.PG-25","Finalizado",NULL,NULL,0,694330,0,694330,2,15,NULL,1,1
63,"Correctivo","2025-08-11","2025-08-12",NULL,407951,"Cambio aceite por fuga – HR.PG-25","Finalizado",NULL,NULL,0,305374,0,305374,2,16,NULL,1,1
64,"Correctivo","2025-09-08","2025-09-09",NULL,334513,"Arreglo alzavidrios – LX-FG-16","Finalizado",NULL,NULL,0,595916,0,595916,2,17,NULL,1,2
65,"Correctivo","2025-09-30","2025-10-01",NULL,407951,"MC Cabina Sanitaria – HR.PG-25","Finalizado",NULL,NULL,0,98175,0,98175,2,18,NULL,2,1
66,"Correctivo","2025-09-30","2025-10-01",NULL,336979,"MC Cabina Sanitaria – KX.SL-70","Finalizado",NULL,NULL,0,2500904,0,2500904,2,19,NULL,2,3
67,"Correctivo","2025-10-06","2025-10-07",NULL,407951,"Cambio Pastillas de Frenos y Sensores – HR.PG-25","Finalizado",NULL,NULL,0,891022,0,891022,2,21,NULL,1,1
68,"Correctivo","2025-10-13","2025-10-14",NULL,334513,"Cambio pastillas de freno y sensores – LX-FG-16","Finalizado",NULL,NULL,0,1187841,0,1187841,2,22,NULL,1,2
70,"Correctivo","2025-11-14","2025-11-15",NULL,334513,"Checklist – LX-FG-16","Finalizado",NULL,NULL,0,95850,0,95850,2,24,NULL,1,2
71,"Correctivo","2025-12-18","2025-12-19",NULL,407951,"Cambio convertidores de presion, filtro tamiz, valvulas de inversión – HR.PG-25","Finalizado",NULL,NULL,0,1157977,0,1157977,2,25,NULL,1,1
72,"Correctivo","2025-12-15","2025-12-16",NULL,336979,"Cambio Pastillas de freno, sensores y rect. discos – KX.SL-70","Finalizado",NULL,NULL,0,706483,0,706483,NULL,26,NULL,3,3
5,"Preventivo","2025-02-18","2025-02-19",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,235739,0,235739,4,6,NULL,3,4
21,"Preventivo","2025-10-15","2025-10-16",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,141373,0,141373,4,23,NULL,3,4
30,"Preventivo","2025-02-18","2025-02-19",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,409826,0,409826,4,32,NULL,3,4
39,"Preventivo","2025-07-04","2025-07-05",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,366951,0,366951,4,41,NULL,3,4
46,"Preventivo","2025-10-15","2025-10-16",NULL,327340,"Convenio Mantención Multimarcas – HL.TS-76","Finalizado",NULL,"",0,338557,0,338557,4,48,NULL,3,4
53,"Correctivo","2025-02-18","2025-02-19",NULL,327340,"MR Frenos – HL.TS-76","Finalizado",NULL,"",0,235739,0,235739,4,6,NULL,3,4
69,"Correctivo","2025-10-15","2025-10-16",NULL,327340,"Cambio correa AC y Accesorios – HL.TS-76","Finalizado",NULL,"",0,141373,0,141373,4,23,NULL,3,4
